Cd_Mun;Município;area_plantada_ha
1502103;Cametá (PA);44855
1502152;Canaã dos Carajás (PA);7214
1502202;Capanema (PA);7297
1502301;Capitão Poço (PA);22950
1502400;Castanhal (PA);7802
1502509;Chaves (PA);100
1502608;Colares (PA);415
1502707;Conceição do Araguaia (PA);6062
1502756;Concórdia do Pará (PA);24534
1502764;Cumaru do Norte (PA);25283
1502772;Curionópolis (PA);3380
1502806;Curralinho (PA);1463
1502855;Curuá (PA);692
1502905;Curuçá (PA);1388
1502939;Dom Eliseu (PA);93776
1502954;Eldorado do Carajás (PA);2600
1503002;Faro (PA);303
1503044;Floresta do Araguaia (PA);16959
1503077;Garrafão do Norte (PA);7728
1503093;Goianésia do Pará (PA);452
1503101;Gurupá (PA);1076
1503200;Igarapé-Açu (PA);8095
1503309;Igarapé-Miri (PA);47820
1503408;Inhangapi (PA);3980
1503457;Ipixuna do Pará (PA);14761
1503507;Irituia (PA);3851
1503606;Itaituba (PA);7527
1503705;Itupiranga (PA);7823
1503754;Jacareacanga (PA);3175
1503804;Jacundá (PA);82
1503903;Juruti (PA);12166
1504000;Limoeiro do Ajuru (PA);7317
1504059;Mãe do Rio (PA);1829
1504109;Magalhães Barata (PA);1145
1504208;Marabá (PA);14049
1504307;Maracanã (PA);2329
1504406;Marapanim (PA);974
1504422;Marituba (PA);-9999
1504455;Medicilândia (PA);49861
1504505;Melgaço (PA);3258
1504604;Mocajuba (PA);21167
1504703;Moju (PA);27768
1504752;Mojuí dos Campos (PA);31964
1504802;Monte Alegre (PA);17750
1504901;Muaná (PA);5310
1504950;Nova Esperança do Piriá (PA);5975
1504976;Nova Ipixuna (PA);1166
1505007;Nova Timboteua (PA);1997
1505031;Novo Progresso (PA);19711
1505064;Novo Repartimento (PA);6975
1505106;Óbidos (PA);21167
1505205;Oeiras do Pará (PA);7926
1505304;Oriximiná (PA);15406
1505403;Ourém (PA);2005
1505437;Ourilândia do Norte (PA);1528
1505486;Pacajá (PA);11827
1505494;Palestina do Pará (PA);825
1505502;Paragominas (PA);188139
1505536;Parauapebas (PA);9582
1505551;Pau D'Arco (PA);617
1505601;Peixe-Boi (PA);1563
1505635;Piçarra (PA);4812
1505650;Placas (PA);15724
1505700;Ponta de Pedras (PA);3655
1505809;Portel (PA);16527
1505908;Porto de Moz (PA);1206
1506005;Prainha (PA);4868
1506104;Primavera (PA);581
1506112;Quatipuru (PA);635
1506138;Redenção (PA);10573
1506161;Rio Maria (PA);1372
1506187;Rondon do Pará (PA);38266
1506195;Rurópolis (PA);8808
1506203;Salinópolis (PA);722
1506302;Salvaterra (PA);2293
1506351;Santa Bárbara do Pará (PA);435
1506500;Santa Izabel do Pará (PA);6348
1506559;Santa Luzia do Pará (PA);2010
1506583;Santa Maria das Barreiras (PA);88690
1506609;Santa Maria do Pará (PA);6270
1506708;Santana do Araguaia (PA);103175
1506807;Santarém (PA);34233
1506906;Santarém Novo (PA);1543
1507003;Santo Antônio do Tauá (PA);5110
1507102;São Caetano de Odivelas (PA);988
1507151;São Domingos do Araguaia (PA);3605
1507201;São Domingos do Capim (PA);12095
1507300;São Félix do Xingu (PA);11801
1507409;São Francisco do Pará (PA);5875
1507458;São Geraldo do Araguaia (PA);6005
1507466;São João da Ponta (PA);483
1507474;São João de Pirabas (PA);353
1507508;São João do Araguaia (PA);1872
1507607;São Miguel do Guamá (PA);7416
1507706;São Sebastião da Boa Vista (PA);5550
1507755;Sapucaia (PA);706
1507805;Senador José Porfírio (PA);5937
1507904;Soure (PA);110
1507953;Tailândia (PA);85780
1507961;Terra Alta (PA);469
1507979;Terra Santa (PA);98
1508001;Tomé-Açu (PA);49274
1508035;Tracuateua (PA);5246
1508050;Trairão (PA);13685
1508084;Tucumã (PA);6229
1508100;Tucuruí (PA);58
1508126;Ulianópolis (PA);77328
1508159;Uruará (PA);21292
1508209;Vigia (PA);1045
1508308;Viseu (PA);8224
1508357;Vitória do Xingu (PA);6572
1508407;Xinguara (PA);1459
1600055;Serra do Navio (AP);802
1600105;Amapá (AP);689
1600154;Pedra Branca do Amapari (AP);1475
1600204;Calçoene (AP);1004
1600212;Cutias (AP);396
1600238;Ferreira Gomes (AP);1323
1600253;Itaubal (AP);4049
1600279;Laranjal do Jari (AP);1409
1600303;Macapá (AP);9603
1600402;Mazagão (AP);1322
1600501;Oiapoque (AP);2082
1600535;Porto Grande (AP);2648
1600550;Pracuúba (AP);595
1600600;Santana (AP);1058
1600709;Tartarugalzinho (AP);7924
1600808;Vitória do Jari (AP);955
1700251;Abreulândia (TO);10665
1700301;Aguiarnópolis (TO);406
1700350;Aliança do Tocantins (TO);7364
1700400;Almas (TO);11282
1700707;Alvorada (TO);28165
1701002;Ananás (TO);1058
1701051;Angico (TO);556
1701101;Aparecida do Rio Negro (TO);38680
1701309;Aragominas (TO);1422
1701903;Araguacema (TO);25630
1702000;Araguaçu (TO);10448
1702109;Araguaína (TO);8260
1702158;Araguanã (TO);21
1702208;Araguatins (TO);1184
1702307;Arapoema (TO);2076
1702406;Arraias (TO);1090
1702554;Augustinópolis (TO);243
1702703;Aurora do Tocantins (TO);237
1702901;Axixá do Tocantins (TO);279
1703008;Babaçulândia (TO);3362
1703057;Bandeirantes do Tocantins (TO);362
1703073;Barra do Ouro (TO);5704
1703107;Barrolândia (TO);242
1703206;Bernardo Sayão (TO);150
1703305;Bom Jesus do Tocantins (TO);23965
1703602;Brasilândia do Tocantins (TO);763
1703701;Brejinho de Nazaré (TO);26371
1703800;Buriti do Tocantins (TO);114
1703826;Cachoeirinha (TO);303
1703842;Campos Lindos (TO);104159
1703867;Cariri do Tocantins (TO);17868
1703883;Carmolândia (TO);151
1703891;Carrasco Bonito (TO);141
1703909;Caseara (TO);54950
1704105;Centenário (TO);8365
1704600;Chapada de Areia (TO);444
1705102;Chapada da Natividade (TO);16887
1705508;Colinas do Tocantins (TO);61
1705557;Combinado (TO);208
1705607;Conceição do Tocantins (TO);231
1706001;Couto Magalhães (TO);9005
1706100;Cristalândia (TO);12148
1706258;Crixás do Tocantins (TO);7812
1706506;Darcinópolis (TO);13570
1707009;Dianópolis (TO);2243
1707108;Divinópolis do Tocantins (TO);11355
1707207;Dois Irmãos do Tocantins (TO);6226
1707306;Dueré (TO);13000
1707405;Esperantina (TO);232
1707553;Fátima (TO);2233
1707652;Figueirópolis (TO);25297
1707702;Filadélfia (TO);304
1708205;Formoso do Araguaia (TO);25032
1708254;Fortaleza do Tabocão (TO);8612
1708304;Goianorte (TO);3184
1709005;Goiatins (TO);23054
1709302;Guaraí (TO);14187
1709500;Gurupi (TO);13053
1709807;Ipueiras (TO);3723
1710508;Itacajá (TO);8961
1710706;Itaguatins (TO);254
1710904;Itapiratins (TO);17440
1711100;Itaporã do Tocantins (TO);161
1711506;Jaú do Tocantins (TO);2837
1711803;Juarina (TO);56
1711902;Lagoa da Confusão (TO);95647
1711951;Lagoa do Tocantins (TO);2771
1712009;Lajeado (TO);355
1712157;Lavandeira (TO);139
1712405;Lizarda (TO);4410
1712454;Luzinópolis (TO);801
1712504;Marianópolis do Tocantins (TO);34333
1712702;Mateiros (TO);51218
1712801;Maurilândia do Tocantins (TO);407
1713205;Miracema do Tocantins (TO);25418
1713304;Miranorte (TO);14750
1713601;Monte do Carmo (TO);49535
1713700;Monte Santo do Tocantins (TO);1703
1713809;Palmeiras do Tocantins (TO);871
1713957;Muricilândia (TO);1013
1714203;Natividade (TO);2809
1714302;Nazaré (TO);344
1714880;Nova Olinda (TO);707
1715002;Nova Rosalândia (TO);7365
1715101;Novo Acordo (TO);7081
1715150;Novo Alegre (TO);170
1715259;Novo Jardim (TO);216
1715507;Oliveira de Fátima (TO);1832
1715705;Palmeirante (TO);5928
1715754;Palmeirópolis (TO);3252
1716109;Paraíso do Tocantins (TO);3217
1716208;Paranã (TO);422
1716307;Pau D'Arco (TO);242
1716505;Pedro Afonso (TO);53415
1716604;Peixe (TO);53879
1716653;Pequizeiro (TO);1154
1716703;Colméia (TO);101
1717008;Pindorama do Tocantins (TO);1583
1717206;Piraquê (TO);6380
1717503;Pium (TO);41929
1717800;Ponte Alta do Bom Jesus (TO);326
1717909;Ponte Alta do Tocantins (TO);219
1718006;Porto Alegre do Tocantins (TO);163
1718204;Porto Nacional (TO);58319
1718303;Praia Norte (TO);260
1718402;Presidente Kennedy (TO);31
1718451;Pugmil (TO);2934
1718501;Recursolândia (TO);425
1718550;Riachinho (TO);386
1718659;Rio da Conceição (TO);99
1718709;Rio dos Bois (TO);17687
1718758;Rio Sono (TO);5749
1718808;Sampaio (TO);595
1718840;Sandolândia (TO);1023
1718865;Santa Fé do Araguaia (TO);16203
1718881;Santa Maria do Tocantins (TO);11100
1718899;Santa Rita do Tocantins (TO);25160
1718907;Santa Rosa do Tocantins (TO);40944
1719004;Santa Tereza do Tocantins (TO);60
1720002;Santa Terezinha do Tocantins (TO);199
1720101;São Bento do Tocantins (TO);1444
1720150;São Félix do Tocantins (TO);42
1720200;São Miguel do Tocantins (TO);296
1720259;São Salvador do Tocantins (TO);165
1720309;São Sebastião do Tocantins (TO);139
1720499;São Valério (TO);14665
1720655;Silvanópolis (TO);29300
1720804;Sítio Novo do Tocantins (TO);169
1720853;Sucupira (TO);17257
1720903;Taguatinga (TO);3515
1720937;Taipas do Tocantins (TO);140
1720978;Talismã (TO);14681
1721000;Palmas (TO);21690
1721109;Tocantínia (TO);4215
1721208;Tocantinópolis (TO);442
1721257;Tupirama (TO);19621
1721307;Tupiratins (TO);1073
1722081;Wanderlândia (TO);1810
1722107;Xambioá (TO);1429
2100055;Açailândia (MA);55615
2100105;Afonso Cunha (MA);7306
2100154;Água Doce do Maranhão (MA);1089
2100204;Alcântara (MA);1291
2100303;Aldeias Altas (MA);9091
2100402;Altamira do Maranhão (MA);1062
2100436;Alto Alegre do Maranhão (MA);572
2100477;Alto Alegre do Pindaré (MA);666
2100501;Alto Parnaíba (MA);74763
2100550;Amapá do Maranhão (MA);482
2100600;Amarante do Maranhão (MA);2050
2100709;Anajatuba (MA);767
2100808;Anapurus (MA);10302
2100832;Apicum-Açu (MA);572
2100873;Araguanã (MA);646
2100907;Araioses (MA);1875
2100956;Arame (MA);3456
2101004;Arari (MA);3181
2101103;Axixá (MA);486
2101202;Bacabal (MA);2550
2101251;Bacabeira (MA);212
2101301;Bacuri (MA);902
2101350;Bacurituba (MA);415
2101400;Balsas (MA);322620
2101509;Barão de Grajaú (MA);1459
2101608;Barra do Corda (MA);4244
2101707;Barreirinhas (MA);5143
2101731;Belágua (MA);793
2101772;Bela Vista do Maranhão (MA);278
2101806;Benedito Leite (MA);4991
2101905;Bequimão (MA);2099
2101939;Bernardo do Mearim (MA);592
2101970;Boa Vista do Gurupi (MA);271
2102002;Bom Jardim (MA);14895
2102036;Bom Jesus das Selvas (MA);9074
2102077;Bom Lugar (MA);1375
2102101;Brejo (MA);19130
2102150;Brejo de Areia (MA);1007
2102200;Buriti (MA);15943
2102309;Buriti Bravo (MA);7531
2102325;Buriticupu (MA);35774
2102358;Buritirana (MA);345
2102374;Cachoeira Grande (MA);627
2102408;Cajapió (MA);584
2102507;Cajari (MA);914
2102556;Campestre do Maranhão (MA);7519
2102606;Cândido Mendes (MA);759
2102705;Cantanhede (MA);1797
2102754;Capinzal do Norte (MA);1155
2102804;Carolina (MA);50453
2102903;Carutapera (MA);670
2103000;Caxias (MA);12974
2103109;Cedral (MA);695
2103125;Central do Maranhão (MA);571
2103158;Centro do Guilherme (MA);1424
2103174;Centro Novo do Maranhão (MA);916
2103208;Chapadinha (MA);5975
2103257;Cidelândia (MA);5290
2103307;Codó (MA);8087
2103406;Coelho Neto (MA);6362
2103505;Colinas (MA);9176
2103554;Conceição do Lago-Açu (MA);550
2103604;Coroatá (MA);4156
2103703;Cururupu (MA);526
2103752;Davinópolis (MA);399
2103802;Dom Pedro (MA);1920
2103901;Duque Bacelar (MA);1058
2104008;Esperantinópolis (MA);1830
2104057;Estreito (MA);1651
2104073;Feira Nova do Maranhão (MA);4355
2104081;Fernando Falcão (MA);9386
2104099;Formosa da Serra Negra (MA);2422
2104107;Fortaleza dos Nogueiras (MA);19280
2104206;Fortuna (MA);3397
2104305;Godofredo Viana (MA);313
2104404;Gonçalves Dias (MA);1818
2104503;Governador Archer (MA);626
2104552;Governador Edison Lobão (MA);289
2104602;Governador Eugênio Barros (MA);3604
2104628;Governador Luiz Rocha (MA);4261
2104651;Governador Newton Bello (MA);584
2104677;Governador Nunes Freire (MA);1459
2104701;Graça Aranha (MA);1286
2104800;Grajaú (MA);29000
2104909;Guimarães (MA);864
2105005;Humberto de Campos (MA);908
