datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2020/09/10 17:55:00,AQUA_M-T,Brasil,MATO GROSSO,SANTO ANTONIO DO LEVERGER,Pantanal,25,0,1,-15.9680,-55.9560,61.8
2020/09/10 17:55:00,AQUA_M-T,Brasil,MATO GROSSO,CACERES,Pantanal,29,0,1,-16.2550,-57.9740,86.1
2020/09/10 17:55:00,AQUA_M-T,Brasil,MATO GROSSO,CACERES,Pantanal,29,0,1,-16.2520,-57.9570,411.8
2020/09/10 17:55:00,AQUA_M-T,Brasil,MATO GROSSO,CACERES,Pantanal,28,0,1,-16.0850,-57.7360,22
2020/09/10 17:55:00,AQUA_M-T,Brasil,MATO GROSSO,CACERES,Pantanal,28,0,1,-16.0820,-57.7180,74.8
2020/09/10 17:55:00,AQUA_M-T,Brasil,MATO GROSSO,CACERES,Pantanal,28,0,1,-16.0670,-57.7030,20.6
2020/09/10 17:55:00,AQUA_M-T,Brasil,MATO GROSSO,CACERES,Pantanal,28,0,1,-16.0630,-57.7100,20.7
2020/09/10 17:55:00,AQUA_M-T,Brasil,MATO GROSSO,POCONE,Pantanal,65,0,1,-16.5300,-56.6660,27.9
2020/09/10 17:55:00,AQUA_M-T,Brasil,MATO GROSSO,CACERES,Pantanal,28,0,1,-16.4380,-57.5030,48.1
2020/09/10 17:55:00,AQUA_M-T,Brasil,MATO GROSSO,CACERES,Pantanal,25,0,1,-17.2690,-57.4300,31.5
2020/09/10 17:55:00,AQUA_M-T,Brasil,MATO GROSSO,CACERES,Pantanal,25,0,1,-17.2570,-57.4320,39.4
2020/09/10 17:55:00,AQUA_M-T,Brasil,MATO GROSSO,CACERES,Pantanal,36,0,1,-16.8300,-57.9630,15.1
2020/09/10 17:55:00,AQUA_M-T,Brasil,MATO GROSSO,CACERES,Pantanal,29,0,1,-16.7060,-57.7320,27.3
2020/09/10 17:55:00,AQUA_M-T,Brasil,MATO GROSSO,CACERES,Pantanal,29,0,1,-16.7040,-57.7150,27.3
2020/09/10 17:55:00,AQUA_M-T,Brasil,MATO GROSSO,CACERES,Pantanal,29,0,1,-16.7030,-57.7570,58.1
2020/09/10 17:55:00,AQUA_M-T,Brasil,MATO GROSSO,POCONE,Pantanal,28,0,1,-17.0100,-56.8480,48.4
2020/09/10 17:55:00,AQUA_M-T,Brasil,MATO GROSSO,POCONE,Pantanal,28,0,1,-17.0070,-56.8340,97.5
2020/09/10 17:55:00,AQUA_M-T,Brasil,MATO GROSSO,POCONE,Pantanal,28,0,1,-17.0070,-56.8290,75.4
2020/09/10 17:55:00,AQUA_M-T,Brasil,MATO GROSSO,SANTO ANTONIO DO LEVERGER,Pantanal,97,0,1,-16.5040,-55.1040,252
2020/09/10 17:55:00,AQUA_M-T,Brasil,MATO GROSSO,SANTO ANTONIO DO LEVERGER,Pantanal,88,0,1,-16.6450,-55.2030,50.8
2020/09/10 17:55:00,AQUA_M-T,Brasil,MATO GROSSO,SANTO ANTONIO DO LEVERGER,Pantanal,83,0,1,-16.6020,-55.2110,57.9
2020/09/10 17:55:00,AQUA_M-T,Brasil,MATO GROSSO,SANTO ANTONIO DO LEVERGER,Pantanal,91,0,1,-16.5970,-55.1850,156
2020/09/10 17:55:00,AQUA_M-T,Brasil,MATO GROSSO,SANTO ANTONIO DO LEVERGER,Pantanal,98,0,1,-16.5920,-55.1590,107.8
2020/09/10 17:55:00,AQUA_M-T,Brasil,MATO GROSSO,SANTO ANTONIO DO LEVERGER,Pantanal,96,0,1,-16.5900,-55.1680,137.6
2020/09/10 17:55:00,AQUA_M-T,Brasil,MATO GROSSO,BARAO DE MELGACO,Pantanal,71,0,1,-16.5760,-55.6670,38.4
2020/09/10 17:55:00,AQUA_M-T,Brasil,MATO GROSSO,SANTO ANTONIO DO LEVERGER,Pantanal,89,0,1,-16.5460,-55.1830,34.4
2020/09/10 17:55:00,AQUA_M-T,Brasil,MATO GROSSO,SANTO ANTONIO DO LEVERGER,Pantanal,90,0,1,-16.5330,-55.1820,32.9
2020/09/10 17:55:00,AQUA_M-T,Brasil,MATO GROSSO,SANTO ANTONIO DO LEVERGER,Pantanal,97,0,1,-16.5130,-55.0800,31.3
2020/09/10 17:55:00,AQUA_M-T,Brasil,MATO GROSSO,SANTO ANTONIO DO LEVERGER,Pantanal,97,0,1,-16.5030,-55.1090,157.4
2020/09/10 17:55:00,AQUA_M-T,Brasil,MATO GROSSO,SANTO ANTONIO DO LEVERGER,Pantanal,97,0,1,-16.4980,-55.0820,157.1
2020/09/10 17:55:00,AQUA_M-T,Brasil,MATO GROSSO,SANTO ANTONIO DO LEVERGER,Pantanal,97,0,1,-16.4980,-55.0770,125.7
2020/09/10 17:55:00,AQUA_M-T,Brasil,MATO GROSSO,BARAO DE MELGACO,Pantanal,96,0,1,-16.4970,-55.9810,21.3
2020/09/10 17:55:00,AQUA_M-T,Brasil,MATO GROSSO,BARAO DE MELGACO,Pantanal,105,0,1,-16.4930,-55.9580,72.9
2020/09/10 17:55:00,AQUA_M-T,Brasil,MATO GROSSO,BARAO DE MELGACO,Pantanal,102,0,1,-16.4870,-55.9640,51.9
2020/09/10 17:55:00,AQUA_M-T,Brasil,MATO GROSSO,BARAO DE MELGACO,Pantanal,70,0,1,-16.4350,-56.1370,43.4
2020/09/10 17:55:00,AQUA_M-T,Brasil,MATO GROSSO,BARAO DE MELGACO,Pantanal,67,0,1,-16.4320,-56.1000,50.4
2020/09/10 17:55:00,AQUA_M-T,Brasil,MATO GROSSO,SANTO ANTONIO DO LEVERGER,Pantanal,98,0,1,-16.5510,-55.0390,71.5
